Name,Description,Address,Country
Louvre Museum,Home to the Mona Lisa and thousands of other artworks,"Rue de Rivoli, 75001 Paris",France
British Museum,"A museum dedicated to human history, art, and culture","Great Russell St, Bloomsbury, London WC1B 3DG",UK
Uffizi Gallery,Renowned art museum housing some of the most important works of the Renaissance,"Piazzale degli Uffizi, 6, 50122 Firenze FI",Italy
Rijksmuseum,National museum dedicated to arts and history in Amsterdam,"Museumstraat 1, 1071 XX Amsterdam",Netherlands
Prado Museum,Spanish national art museum featuring one of the finest collections of European art,"Calle de Ruiz de Alarcón, 23, 28014 Madrid",Spain
Hermitage Museum,"One of the largest and oldest museums in the world, housing a comprehensive collection of art","Palace Square, 2, St. Petersburg, 190000",Russia
Centre Pompidou,High-tech architecture housing the National Museum of Modern Art,"Place Georges-Pompidou, 75004 Paris",France
Tate Modern,Modern art gallery housed in a former power station on the banks of the Thames,"Bankside, London SE1 9TG",UK
Musee d'Orsay,Art museum housing the largest collection of impressionist and post-Impressionist masterpieces,"1 Rue de la Légion d'Honneur, 75007 Paris",France
Acropolis Museum,Museum focused on the findings of the archaeological site of the Acropolis of Athens,"Dionysiou Areopagitou 15, Athina 117 42",Greece
State Historical Museum,Showcases the history of Russia from ancient times,"Red Square, 1, Moscow, 109012",Russia
Van Gogh Museum,Dedicated to the works of Vincent van Gogh and his contemporaries,"Museumplein 6, 1071 DJ Amsterdam",Netherlands
Pergamon Museum,"Part of the Museum Island, showcasing ancient architecture","Am Kupfergraben, 10117 Berlin",Germany
National Gallery,"Art museum in Trafalgar Square in the City of Westminster, in Central London","Trafalgar Square, London WC2N 5DN ",UK
Museo Nacional Centro de Arte Reina Sofía,Spain's national museum of 20th-century art,"Calle de Santa Isabel, 52, 28012 Madrid",Spain
The State Tretyakov Gallery,"Art gallery in Moscow, Russia, the foremost depository of Russian fine art in the world","Lavrushinsky Ln, 10, Moscow, 119017",Russia
Scottish National Gallery,National art gallery that holds the national collection of fine art,"The Mound, Edinburgh EH2 2EL",UK
Galleria dell'Accademia,Art museum in Florence that houses Michelangelo's David,"Via Ricasoli, 58/60, 50122 Firenze FI",Italy
Sistine Chapel,"Famous for its architecture, also the site of the Papal conclave",00120 Vatican City,Vatican City
